,task,task_complete,uid,num_catch,num_correct,scenario,start
55,exculpatory_burdenofproof,1.0,A136K9Y7E4C3G,6.0,6.0,31.0,2019-10-16 03:58:20
56,exculpatory_burdenofproof,1.0,A1TSD3O3C3ZUT6,6.0,6.0,31.0,2019-10-16 04:03:29
57,exculpatory_burdenofproof,0.0,A22CN9X0JP1HM4,3.0,0.0,11.0,2019-10-16 05:18:47
58,exculpatory_burdenofproof,1.0,A25WGTFYA70QGZ,6.0,5.0,31.0,2019-10-18 20:03:09
59,exculpatory_burdenofproof,0.0,A1QVNF19XSRSD7,2.0,0.0,7.0,2019-10-18 20:04:09
60,exculpatory_burdenofproof,1.0,AI4AO0O0WIJF7,6.0,5.0,31.0,2019-10-18 20:04:49
61,exculpatory_burdenofproof,0.0,A3KK1BNF5H0N1Z,1.0,0.0,2.0,2019-10-18 20:06:18
62,exculpatory_burdenofproof,0.0,AW55UQYG2WE34,,,2.0,2019-10-18 20:09:46
63,exculpatory_burdenofproof,0.0,A35HGRGEIRWGMI,6.0,3.0,28.0,2019-10-18 20:16:21
64,exculpatory_burdenofproof,1.0,ARWF605I7RWM7,6.0,6.0,31.0,2019-10-18 20:19:05
65,exculpatory_burdenofproof,0.0,AETJ6T3KKG61I,3.0,1.0,11.0,2019-10-18 20:20:26
66,exculpatory_burdenofproof,1.0,A21HHFPT6CRWBI,6.0,6.0,31.0,2019-10-18 20:31:27
67,exculpatory_burdenofproof,0.0,AN1HXSI6M28FM,1.0,0.0,2.0,2019-10-18 20:32:20
68,exculpatory_burdenofproof,0.0,A1AKRS964MI8IM,4.0,1.0,17.0,2019-10-18 20:42:44
69,exculpatory_burdenofproof,1.0,A30HUZHJBOX1LK,6.0,6.0,31.0,2019-10-18 20:43:29
70,exculpatory_burdenofproof,0.0,A33UW3XW0LM27W,2.0,2.0,9.0,2019-10-18 20:48:59
71,exculpatory_burdenofproof,1.0,A8TIL9U6YHG5,6.0,4.0,31.0,2019-10-18 20:55:21
72,exculpatory_burdenofproof,0.0,A3OB6REG5CGHK1,,,,
73,exculpatory_burdenofproof,0.0,A1PKKXX8BT0HAP,,,2.0,2019-10-18 20:59:46
74,exculpatory_burdenofproof,1.0,AHOQWPD49OMW3,6.0,6.0,31.0,2019-10-18 21:04:27
75,exculpatory_burdenofproof,0.0,A1QOMPJQC9M6UO,,,2.0,2019-10-18 21:05:54
76,exculpatory_burdenofproof,0.0,AHHGRDU8XSRZ5,3.0,1.0,11.0,2019-10-18 21:06:00
77,exculpatory_burdenofproof,0.0,A1VR49TB3Q4BV8,,,,
78,exculpatory_burdenofproof,0.0,ASAAL9165IX44,1.0,0.0,2.0,2019-10-18 21:08:24
79,exculpatory_burdenofproof,0.0,A2B227N1NQYS56,,,,
80,exculpatory_burdenofproof,0.0,A3NZYZBMZN4QV4,,,2.0,2019-10-18 21:13:39
81,exculpatory_burdenofproof,0.0,AL2WYEXUY16DW,4.0,2.0,17.0,2019-10-18 21:13:32
82,exculpatory_burdenofproof,0.0,A30Y9031QAPG6N,5.0,2.0,22.0,2019-10-18 21:23:50
83,exculpatory_burdenofproof,1.0,AFK9ALQK5GPNG,6.0,5.0,31.0,2019-10-18 21:26:53
84,exculpatory_burdenofproof,1.0,APMV6M7BG0JW8,6.0,4.0,31.0,2019-10-18 21:29:06
85,exculpatory_burdenofproof,1.0,A2BWKA537OTIN1,6.0,6.0,31.0,2019-10-18 21:31:58
86,exculpatory_burdenofproof,1.0,A1B14CS9DW7008,6.0,6.0,31.0,2019-10-18 21:38:19
87,exculpatory_burdenofproof,1.0,AA4O2W236E3FW,6.0,6.0,31.0,2019-10-18 21:40:25
88,exculpatory_burdenofproof,0.0,A50K8MTKFSNQT,2.0,2.0,8.0,2019-10-18 21:49:03
89,exculpatory_burdenofproof,0.0,A3MD3CC58W6WWQ,,,2.0,2019-10-18 21:36:46
90,exculpatory_burdenofproof,0.0,A1PVBXVZ1L7AN9,,,,
91,exculpatory_burdenofproof,1.0,A40LS4KPS01IV,6.0,5.0,31.0,2019-10-18 22:06:06
92,exculpatory_burdenofproof,0.0,A3P46SG0UIIY29,2.0,1.0,7.0,2019-10-18 22:10:14
93,exculpatory_burdenofproof,0.0,A30UE6DWFNUCWX,2.0,1.0,7.0,2019-10-18 22:12:15
94,exculpatory_burdenofproof,1.0,ATP43ZVI1RP0C,6.0,6.0,31.0,2019-10-18 22:12:42
95,exculpatory_burdenofproof,0.0,AA9HEWGDUQDEU,5.0,3.0,22.0,2019-10-18 22:13:50
96,exculpatory_burdenofproof,0.0,A3K3ZAEG60R0ZH,5.0,2.0,22.0,2019-10-18 22:16:22
97,exculpatory_burdenofproof,0.0,A2ATXOR5WL2S0Q,4.0,4.0,17.0,2019-10-18 22:21:07
98,exculpatory_burdenofproof,0.0,A1DIW2K1J89CMO,2.0,1.0,9.0,2019-10-18 22:28:00
99,exculpatory_burdenofproof,1.0,AECDIRXC7CBY2,6.0,6.0,31.0,2019-10-18 22:37:35
100,exculpatory_burdenofproof,0.0,A34B8T4EZZUZFV,3.0,1.0,11.0,2019-10-18 22:48:03
101,exculpatory_burdenofproof,1.0,A2XPWASDT8AYXH,6.0,5.0,31.0,2019-10-18 23:01:48
102,exculpatory_burdenofproof,1.0,A2ESE3IBTNAEB7,6.0,6.0,31.0,2019-10-18 23:11:57
103,exculpatory_burdenofproof,1.0,A1JJNB108BPMRN,6.0,6.0,31.0,2019-10-18 23:28:24
104,exculpatory_burdenofproof,1.0,A230GPTWWF3SE7,6.0,6.0,31.0,2019-10-18 23:38:18
105,exculpatory_burdenofproof,1.0,A53S7J4JGWG38,6.0,6.0,31.0,2019-10-19 00:13:44
106,exculpatory_burdenofproof,1.0,AYW6H3GAHFDRG,6.0,6.0,31.0,2019-10-19 00:16:50
107,exculpatory_burdenofproof,1.0,A1P47Q6LZPLQ6P,6.0,6.0,31.0,2019-10-19 00:29:08
108,exculpatory_burdenofproof,0.0,A7GUGMM7FW0B0,,,2.0,2019-10-19 01:10:37
109,exculpatory_burdenofproof,1.0,A2PBYJGWVOA933,6.0,5.0,31.0,2019-10-19 01:14:52
110,exculpatory_burdenofproof,1.0,A3W1M37EJKYIZI,6.0,6.0,31.0,2019-10-19 01:15:33
111,exculpatory_burdenofproof,1.0,A1C2T79XTDHE39,6.0,5.0,31.0,2019-10-22 21:11:22
112,exculpatory_burdenofproof,0.0,AAOEHS9LFB8KA,2.0,2.0,7.0,2019-10-22 21:15:26
113,exculpatory_burdenofproof,1.0,A1GKD3NG1NNHRP,6.0,6.0,31.0,2019-10-22 21:19:38
114,exculpatory_burdenofproof,1.0,ATXAVU13VN2I,6.0,6.0,31.0,2019-10-22 21:21:53
115,exculpatory_burdenofproof,1.0,A1KPUJ4XNQANQ8,6.0,5.0,31.0,2019-10-22 21:26:09
116,exculpatory_burdenofproof,1.0,ALV4DAF8DIJ37,6.0,6.0,31.0,2019-10-22 21:31:20
117,exculpatory_burdenofproof,1.0,A1SOIE67CIL16C,6.0,5.0,31.0,2019-10-22 21:33:01
118,exculpatory_burdenofproof,0.0,ABL3H3O3BI8ZD,1.0,0.0,2.0,2019-10-22 21:34:02
119,exculpatory_burdenofproof,0.0,A3TPW4JUUJDUFI,,,2.0,2019-10-22 21:40:26
120,exculpatory_burdenofproof,1.0,A2R89RXGEVG05I,6.0,5.0,31.0,2019-10-22 21:43:41
121,exculpatory_burdenofproof,1.0,A3NMQ3019X6YE0,6.0,6.0,31.0,2019-10-22 21:46:38
122,exculpatory_burdenofproof,0.0,AEEL6DE8FQSX6,1.0,0.0,2.0,2019-10-22 21:54:52
123,exculpatory_burdenofproof,1.0,A383WPMTMRQEA0,6.0,6.0,31.0,2019-10-22 21:55:18
124,exculpatory_burdenofproof,0.0,A3F51C49T9A34D,,,,
125,exculpatory_burdenofproof,1.0,A2BBDH8DZD77AU,6.0,6.0,31.0,2019-10-22 22:00:41
126,exculpatory_burdenofproof,0.0,A39C26OKPJOU8H,,,2.0,2019-10-22 22:00:45
127,exculpatory_burdenofproof,1.0,A3H8Y415E0WXQN,6.0,6.0,31.0,2019-10-22 22:02:11
128,exculpatory_burdenofproof,1.0,A2GL4H2GRVX15O,6.0,6.0,31.0,2019-10-22 22:12:20
129,exculpatory_burdenofproof,0.0,11,,,,
130,exculpatory_burdenofproof,0.0,A3LVLZS8S41ZD7,1.0,1.0,2.0,2019-10-22 22:20:17
131,exculpatory_burdenofproof,0.0,A1H5Q9HRH4RPZU,,,2.0,2019-10-22 22:23:51
132,exculpatory_burdenofproof,0.0,A24B5UF6RMHYGX,1.0,0.0,2.0,2019-10-22 22:29:31
133,exculpatory_burdenofproof,0.0,A1AZLJ3R5FQ9B7,6.0,5.0,28.0,2019-10-22 22:33:35
134,exculpatory_burdenofproof,1.0,A3SZF91DCOQPW3,6.0,6.0,31.0,2019-10-22 22:34:53
135,exculpatory_burdenofproof,0.0,A2NXFT6TYMOZX4,,,1.0,2019-10-22 22:56:45
136,exculpatory_burdenofproof,1.0,A2CHDWKAYZ3P3E,6.0,5.0,31.0,2019-10-22 22:59:02
137,exculpatory_burdenofproof,1.0,A1SCESDDNPL2B4,6.0,6.0,31.0,2019-10-22 22:59:41
138,exculpatory_burdenofproof,0.0,A37KREDYGDTP4U,4.0,2.0,21.0,2019-10-22 23:00:42
139,exculpatory_burdenofproof,1.0,A1KK9SJUQRAH,6.0,6.0,31.0,2019-10-22 23:01:14
140,exculpatory_burdenofproof,0.0,AH1UHYL4JFS4M,3.0,0.0,11.0,2019-10-22 23:08:35
141,exculpatory_burdenofproof,1.0,A1XBWSV6TWJUU8,6.0,6.0,31.0,2019-10-22 23:51:38
142,exculpatory_burdenofproof,1.0,A1YHIQHLLLQIIQ,6.0,6.0,31.0,2019-10-22 23:58:09
143,exculpatory_burdenofproof,1.0,A1F1TBDHPYAAXT,6.0,6.0,31.0,2019-10-23 00:07:43
144,exculpatory_burdenofproof,0.0,A36JOP57WZ4G52,1.0,0.0,2.0,2019-10-23 00:39:32
145,exculpatory_burdenofproof,1.0,A2DZ1QW6G1LUVY,6.0,6.0,31.0,2019-10-23 00:39:45
146,exculpatory_burdenofproof,1.0,A3H9LK309D3AGI,6.0,6.0,31.0,2019-10-23 00:44:41
147,exculpatory_burdenofproof,0.0,A1X84T4EFW04GZ,,,,
148,exculpatory_burdenofproof,1.0,A1J4Z9AX070TJP,6.0,6.0,31.0,2019-10-23 01:24:13
149,exculpatory_burdenofproof,1.0,A38ILUORAQ7EJ0,6.0,6.0,31.0,2019-10-23 02:22:51
150,exculpatory_burdenofproof,0.0,A38ZV8LBZ034IZ,1.0,1.0,4.0,2019-10-23 02:22:55
151,exculpatory_burdenofproof,0.0,A2CF2BD4Q0ZDJN,1.0,1.0,6.0,2019-10-23 02:56:29
152,exculpatory_burdenofproof,0.0,A1TGL0XGX8IA7P,4.0,1.0,17.0,2019-10-23 03:28:15
153,exculpatory_burdenofproof,0.0,A1PIX3502E1KJQ,,,2.0,2019-10-23 03:43:18
154,exculpatory_burdenofproof,0.0,A2JSIDRTDGDC7T,3.0,0.0,11.0,2019-10-23 04:15:56
155,exculpatory_burdenofproof,1.0,APVWMP5952IOY,6.0,4.0,31.0,2019-10-23 04:19:22
156,exculpatory_burdenofproof,1.0,A3IX3XVGPJH2I7,6.0,5.0,31.0,2019-10-23 05:03:33
157,exculpatory_burdenofproof,1.0,A1SISJL5ST2PWH,6.0,6.0,31.0,2019-10-23 06:34:32
158,exculpatory_burdenofproof,0.0,testing,,,,
159,exculpatory_burdenofproof,0.0,coronatest,,,1.0,2020-03-13 17:18:49
160,exculpatory_burdenofproof,0.0,A2567IHLKR4TC3,2.0,0.0,7.0,2020-03-13 17:37:06
161,exculpatory_burdenofproof,0.0,A3GITKS8VABUNB,1.0,1.0,5.0,2020-03-13 17:54:16
162,exculpatory_burdenofproof,0.0,A2T5NZGZG5NTK2,2.0,1.0,7.0,2020-03-13 17:55:05
163,exculpatory_burdenofproof,1.0,AZ4HOU8N4FZ53,6.0,6.0,31.0,2020-03-13 17:55:43
164,exculpatory_burdenofproof,0.0,A25XUZYL1Q2HBW,,,2.0,2020-03-13 18:07:34
165,exculpatory_burdenofproof,0.0,A2H26V03AYCIYC,2.0,2.0,10.0,2020-03-13 18:09:48
166,exculpatory_burdenofproof,0.0,A1RP622B3KMP21,4.0,1.0,17.0,2020-03-13 18:14:50
167,exculpatory_burdenofproof,0.0,A21OKN7OJOFG2P,3.0,0.0,11.0,2020-03-13 18:44:29
168,exculpatory_burdenofproof,0.0,A3PAM3UNU3OK89,2.0,2.0,9.0,2020-03-13 18:49:17
169,exculpatory_burdenofproof,1.0,A2HJDLSU95MH8Q,6.0,6.0,31.0,2020-03-13 19:02:56
170,exculpatory_burdenofproof,1.0,AQC8WQHV3U67X,6.0,4.0,31.0,2020-03-13 19:07:16
171,exculpatory_burdenofproof,1.0,A277UVT82WHF65,6.0,5.0,31.0,2020-03-13 19:07:38
172,exculpatory_burdenofproof,0.0,A1X0EXH1Z96GOJ,3.0,0.0,7.0,2020-03-13 19:25:41
173,exculpatory_burdenofproof,0.0,dgh,,,1.0,2020-03-13 19:26:29
174,exculpatory_burdenofproof,0.0,A25IP77YL8UE9R,1.0,0.0,2.0,2020-03-13 20:20:10
175,exculpatory_burdenofproof,0.0,A3OZB09ZZLZEFQ,4.0,1.0,17.0,2020-03-13 20:29:19
176,exculpatory_burdenofproof,0.0,A29QDC93L0A4RW,3.0,1.0,11.0,2020-03-13 21:12:04
177,exculpatory_burdenofproof,1.0,A3TI6XISG3CKJF,6.0,6.0,31.0,2020-03-13 21:15:46
178,exculpatory_burdenofproof,1.0,A2ZQCHONMAJZF,6.0,6.0,31.0,2020-03-13 22:01:26
179,exculpatory_burdenofproof,1.0,A1B7GQTH9YG04X,6.0,6.0,31.0,2020-03-13 23:29:38
180,exculpatory_burdenofproof,0.0,AVD6HMIO1HLFI,,,,
181,exculpatory_burdenofproof,0.0,A2539PUSDD137T,5.0,5.0,24.0,2020-03-14 01:13:58
182,exculpatory_burdenofproof,1.0,A3095ABT1L25QK,6.0,6.0,31.0,2020-03-14 02:12:48
183,exculpatory_burdenofproof,0.0,A23KH0CK7RRUGX,3.0,0.0,11.0,2020-03-16 13:37:02
184,exculpatory_burdenofproof,1.0,A2M55RDN9UDPXJ,7.0,1.0,31.0,2020-03-16 17:41:37
185,exculpatory_burdenofproof,1.0,AHYTT3T8W9Y9Y,6.0,6.0,31.0,2020-03-16 17:43:04
186,exculpatory_burdenofproof,0.0,A2KSNTYOUZY59E,3.0,0.0,11.0,2020-03-16 17:49:08
187,exculpatory_burdenofproof,0.0,A3HFS6Q0TONAB9,6.0,3.0,28.0,2020-03-16 17:57:05
188,exculpatory_burdenofproof,0.0,A272X64FOZFYLB,,,,
189,exculpatory_burdenofproof,0.0,A3HFS6Q0TONAB6,3.0,2.0,11.0,2020-03-16 17:59:02
190,exculpatory_burdenofproof,0.0,A2CCT1QNR4J27G,3.0,2.0,11.0,2020-03-16 17:54:55
191,exculpatory_burdenofproof,1.0,A2B7V3HDBDKHPN,6.0,6.0,31.0,2020-03-16 18:06:46
192,exculpatory_burdenofproof,0.0,AGGO60OK8U21,3.0,1.0,12.0,2020-03-16 18:07:28
193,exculpatory_burdenofproof,0.0,A1Y9NJ9R8M1B1B,1.0,0.0,6.0,2020-03-16 18:08:32
194,exculpatory_burdenofproof,0.0,A169TUV6LKM249,1.0,0.0,5.0,2020-03-16 18:14:16
195,exculpatory_burdenofproof,0.0,ALCSNULDVTDFF,4.0,2.0,19.0,2020-03-16 18:17:42
196,exculpatory_burdenofproof,1.0,A2UAGNKP1BPON,6.0,6.0,31.0,2020-03-16 18:19:13
197,exculpatory_burdenofproof,0.0,A3HK9FNLLXXCAR,4.0,4.0,17.0,2020-03-16 18:29:40
198,exculpatory_burdenofproof,1.0,A2KHMKJUVDMK1N,6.0,5.0,31.0,2020-03-16 18:31:14
199,exculpatory_burdenofproof,0.0,A1IBVWKNX3OKK7,,,,
200,exculpatory_burdenofproof,1.0,A748N8WFG2HR4,6.0,6.0,31.0,2020-03-16 18:35:30
201,exculpatory_burdenofproof,0.0,A30Y3H3UJ9QKWV,,,,
202,exculpatory_burdenofproof,0.0,A2L6GCRFAKUEXF,3.0,3.0,11.0,2020-03-16 18:44:38
203,exculpatory_burdenofproof,0.0,A39VVWV1GHLMFD,5.0,2.0,22.0,2020-03-16 18:44:58
204,exculpatory_burdenofproof,0.0,A33L61XKPX76DB,3.0,3.0,12.0,2020-03-16 18:45:03
205,exculpatory_burdenofproof,0.0,A3B6UPVYBLEA4F,1.0,0.0,2.0,2020-03-16 18:54:48
206,exculpatory_burdenofproof,1.0,A3TUCOUVSP9ZGY,6.0,5.0,31.0,2020-03-16 18:55:06
207,exculpatory_burdenofproof,0.0,A18BD5BTUR0KZP,6.0,4.0,28.0,2020-03-16 18:36:34
208,exculpatory_burdenofproof,1.0,A26RO8GGTQAXGG,6.0,6.0,31.0,2020-03-16 19:13:26
209,exculpatory_burdenofproof,0.0,A3QUTOJ3J3ZIMV,,,,
210,exculpatory_burdenofproof,0.0,A21HK1XWMEL393,4.0,1.0,17.0,2020-03-16 19:19:46
211,exculpatory_burdenofproof,1.0,A2A5HAPJD18TRU,6.0,6.0,31.0,2020-03-16 19:20:48
212,exculpatory_burdenofproof,0.0,ANYJ22IOQKAX3,3.0,0.0,11.0,2020-03-16 19:24:42
213,exculpatory_burdenofproof,1.0,A1ZCP2OQXOMAHN,6.0,6.0,31.0,2020-03-16 19:33:05
214,exculpatory_burdenofproof,0.0,A3UP4PP3ZF1J39,3.0,0.0,11.0,2020-03-16 19:41:56
215,exculpatory_burdenofproof,0.0,A2IO83300NZCUE,2.0,1.0,9.0,2020-03-16 19:47:25
216,exculpatory_burdenofproof,0.0,A3080BMBBYP2N1,3.0,1.0,16.0,2020-03-16 19:56:17
217,exculpatory_burdenofproof,0.0,A3HZFB2JLF3JMY,2.0,0.0,7.0,2020-03-16 20:10:33
218,exculpatory_burdenofproof,0.0,A1JGZD9FUDYJ30,,,1.0,2020-03-16 20:15:22
219,exculpatory_burdenofproof,1.0,A171C7B6HHSEGH,6.0,6.0,31.0,2020-03-16 20:20:00
220,exculpatory_burdenofproof,0.0,A2QGBF0K3MBMBL,4.0,1.0,17.0,2020-03-16 20:25:42
221,exculpatory_burdenofproof,1.0,A1ZM56EQX9446P,6.0,6.0,31.0,2020-03-16 20:32:37
222,exculpatory_burdenofproof,1.0,A2I0ANKY20XQRX,6.0,6.0,31.0,2020-03-16 20:35:30
223,exculpatory_burdenofproof,1.0,A1FYSXD0MJXPMG,6.0,6.0,31.0,2020-03-16 20:40:36
224,exculpatory_burdenofproof,0.0,A22I08200A995A,3.0,0.0,11.0,2020-03-16 20:45:50
225,exculpatory_burdenofproof,1.0,A171RZ3O028XF6,6.0,6.0,31.0,2020-03-16 21:08:39
226,exculpatory_burdenofproof,1.0,A2S37P50AYCUYV,6.0,6.0,31.0,2020-03-16 21:35:37
227,exculpatory_burdenofproof,1.0,A2WSSRWT4ZBHK3,6.0,5.0,31.0,2020-03-16 21:40:36
228,exculpatory_burdenofproof,1.0,A32LHQYJY0ELFS,6.0,5.0,31.0,2020-03-16 21:58:11
229,exculpatory_burdenofproof,0.0,ACZK4PTILUFAP,6.0,4.0,28.0,2020-03-16 21:59:25
230,exculpatory_burdenofproof,0.0,http://skene.oit.duke.edu/,,,,
231,exculpatory_burdenofproof,0.0,A2QMHQXR8K4VJ2,4.0,1.0,17.0,2020-03-16 22:23:21
232,exculpatory_burdenofproof,0.0,A3H073G4EPBYOM,,,1.0,2020-03-16 22:37:35
233,exculpatory_burdenofproof,1.0,A2YA1ZM1V760Q1,6.0,4.0,31.0,2020-03-16 22:50:55
234,exculpatory_burdenofproof,1.0,A3EUGO4VR2N4G1,6.0,6.0,31.0,2020-03-16 23:01:42
235,exculpatory_burdenofproof,1.0,A1NLW5ZS2WQR35,6.0,6.0,31.0,2020-03-16 23:04:06
236,exculpatory_burdenofproof,0.0,A7FDA428ADXXP,2.0,0.0,7.0,2020-03-16 23:13:00
237,exculpatory_burdenofproof,0.0,A1YZ0ETOCJO1B2,,,,
238,exculpatory_burdenofproof,1.0,A59L67EZKMC3V,6.0,6.0,31.0,2020-03-16 23:21:40
239,exculpatory_burdenofproof,1.0,ABZD7CRM46SN,6.0,6.0,31.0,2020-03-17 00:05:39
240,exculpatory_burdenofproof,0.0,A24LB89P1BPKKF,3.0,3.0,13.0,2020-03-17 00:16:29
241,exculpatory_burdenofproof,0.0,A3FMBSTZ3ZGSV1,4.0,1.0,17.0,2020-03-17 00:40:15
242,exculpatory_burdenofproof,1.0,A20NITCOBY4775,6.0,6.0,31.0,2020-03-17 01:26:45
243,exculpatory_burdenofproof,1.0,AHUO072N55J8H,6.0,6.0,31.0,2020-03-17 02:21:57
244,exculpatory_burdenofproof,1.0,A3JUAU2JL5OZ8D,6.0,5.0,31.0,2020-03-17 05:39:53
245,exculpatory_burdenofproof,0.0,A37HRV397SI4Q,,,,
246,exculpatory_burdenofproof,0.0,A1XWTAY2OMLG3I,4.0,1.0,17.0,2020-03-17 06:23:15
247,exculpatory_burdenofproof,0.0,A2I389NPJOZMLT,5.0,2.0,22.0,2020-03-17 07:10:55
