,bardguilt,mltnguilt,question,rating,scenario,start,stop,subjguilt,uid
57,true,,11,98,16.0,2020-12-07 23:37:00,2020-12-07 23:37:23,,A2W3Q8OCO18HEN
58,true,,12,98,14.0,2020-12-07 23:37:00,2020-12-07 23:37:42,,A2W3Q8OCO18HEN
59,true,,13,98,2.0,2020-12-07 23:37:00,2020-12-07 23:38:10,,A2W3Q8OCO18HEN
60,true,,14,99,27.0,2020-12-07 23:37:00,2020-12-07 23:38:31,,A2W3Q8OCO18HEN
61,true,,15,98,1.0,2020-12-07 23:37:00,2020-12-07 23:38:54,,A2W3Q8OCO18HEN
62,true,,16,98,5.0,2020-12-07 23:37:00,2020-12-07 23:39:05,,A2W3Q8OCO18HEN
63,true,,17,98,30.0,2020-12-07 23:39:10,2020-12-07 23:39:28,,A2W3Q8OCO18HEN
64,false,,18,10,3.0,2020-12-07 23:39:10,2020-12-07 23:39:46,,A2W3Q8OCO18HEN
65,true,,19,96,28.0,2020-12-07 23:39:10,2020-12-07 23:39:58,,A2W3Q8OCO18HEN
66,true,,20,98,10.0,2020-12-07 23:39:10,2020-12-07 23:40:15,,A2W3Q8OCO18HEN
67,true,,21,100,22.0,2020-12-07 23:39:10,2020-12-07 23:40:31,,A2W3Q8OCO18HEN
68,false,,22,14,20.0,2020-12-07 23:40:37,2020-12-07 23:41:21,,A2W3Q8OCO18HEN
69,true,,23,98,26.0,2020-12-07 23:40:37,2020-12-07 23:41:43,,A2W3Q8OCO18HEN
70,true,,24,65,24.0,2020-12-07 23:40:37,2020-12-07 23:42:06,,A2W3Q8OCO18HEN
71,true,,25,48,29.0,2020-12-07 23:40:37,2020-12-07 23:42:34,,A2W3Q8OCO18HEN
72,true,,26,93,11.0,2020-12-07 23:40:37,2020-12-07 23:42:58,,A2W3Q8OCO18HEN
73,true,,27,98,19.0,2020-12-07 23:40:37,2020-12-07 23:43:15,,A2W3Q8OCO18HEN
74,true,,28,98,31.0,2020-12-07 23:43:33,2020-12-07 23:43:57,,A2W3Q8OCO18HEN
75,true,,29,99,15.0,2020-12-07 23:43:33,2020-12-07 23:44:18,,A2W3Q8OCO18HEN
76,true,,30,98,7.0,2020-12-07 23:43:33,2020-12-07 23:44:37,,A2W3Q8OCO18HEN
77,false,,0,15,23.0,2020-12-08 00:15:58,2020-12-08 00:16:51,,A8UJNIY9R8S7W
78,true,,1,71,31.0,2020-12-08 00:15:58,2020-12-08 00:17:28,,A8UJNIY9R8S7W
79,true,,2,98,12.0,2020-12-08 00:17:40,2020-12-08 00:17:58,,A8UJNIY9R8S7W
80,true,,3,99,16.0,2020-12-08 00:17:40,2020-12-08 00:18:27,,A8UJNIY9R8S7W
81,false,,4,57,25.0,2020-12-08 00:17:40,2020-12-08 00:18:56,,A8UJNIY9R8S7W
82,false,,5,14,21.0,2020-12-08 00:17:40,2020-12-08 00:19:21,,A8UJNIY9R8S7W
83,false,,6,24,18.0,2020-12-08 00:17:40,2020-12-08 00:20:01,,A8UJNIY9R8S7W
84,false,,7,25,24.0,2020-12-08 00:20:09,2020-12-08 00:21:44,,A8UJNIY9R8S7W
85,true,,8,67,29.0,2020-12-08 00:20:09,2020-12-08 00:22:39,,A8UJNIY9R8S7W
86,true,,9,85,28.0,2020-12-08 00:20:09,2020-12-08 00:23:05,,A8UJNIY9R8S7W
87,true,,10,71,14.0,2020-12-08 00:20:09,2020-12-08 00:23:39,,A8UJNIY9R8S7W
88,true,,11,99,13.0,2020-12-08 00:23:45,2020-12-08 00:24:13,,A8UJNIY9R8S7W
89,false,,12,41,6.0,2020-12-08 00:23:45,2020-12-08 00:24:42,,A8UJNIY9R8S7W
90,false,,13,39,19.0,2020-12-08 00:23:45,2020-12-08 00:25:17,,A8UJNIY9R8S7W
91,true,,14,97,22.0,2020-12-08 00:23:45,2020-12-08 00:25:37,,A8UJNIY9R8S7W
92,true,,15,98,30.0,2020-12-08 00:23:45,2020-12-08 00:25:57,,A8UJNIY9R8S7W
93,false,,16,29,3.0,2020-12-08 00:23:45,2020-12-08 00:26:58,,A8UJNIY9R8S7W
94,false,,17,24,26.0,2020-12-08 00:27:07,2020-12-08 00:27:42,,A8UJNIY9R8S7W
95,false,,18,46,10.0,2020-12-08 00:27:07,2020-12-08 00:28:04,,A8UJNIY9R8S7W
96,false,,19,15,7.0,2020-12-08 00:27:07,2020-12-08 00:28:23,,A8UJNIY9R8S7W
97,true,,20,49,8.0,2020-12-08 00:27:07,2020-12-08 00:28:56,,A8UJNIY9R8S7W
98,true,,21,98,1.0,2020-12-08 00:27:07,2020-12-08 00:29:14,,A8UJNIY9R8S7W
99,true,,22,73,11.0,2020-12-08 00:29:19,2020-12-08 00:29:59,,A8UJNIY9R8S7W
100,true,,23,94,5.0,2020-12-08 00:29:19,2020-12-08 00:30:16,,A8UJNIY9R8S7W
101,true,,24,99,27.0,2020-12-08 00:29:19,2020-12-08 00:30:34,,A8UJNIY9R8S7W
102,true,,25,83,15.0,2020-12-08 00:29:19,2020-12-08 00:30:58,,A8UJNIY9R8S7W
103,true,,26,97,2.0,2020-12-08 00:29:19,2020-12-08 00:31:19,,A8UJNIY9R8S7W
104,false,,27,46,17.0,2020-12-08 00:29:19,2020-12-08 00:32:36,,A8UJNIY9R8S7W
105,false,,28,27,20.0,2020-12-08 00:32:41,2020-12-08 00:33:10,,A8UJNIY9R8S7W
106,false,,29,45,9.0,2020-12-08 00:32:41,2020-12-08 00:33:50,,A8UJNIY9R8S7W
107,false,,30,49,4.0,2020-12-08 00:32:41,2020-12-08 00:35:33,,A8UJNIY9R8S7W
108,true,true,0,89,25.0,2020-12-08 01:12:01,2020-12-08 01:13:16,true,A3VZ5K4RRT6NN8
109,true,true,1,100,3.0,2020-12-08 01:12:01,2020-12-08 01:14:07,true,A3VZ5K4RRT6NN8
110,false,false,2,56,16.0,2020-12-08 01:14:17,2020-12-08 01:15:40,false,A3VZ5K4RRT6NN8
111,true,true,3,100,10.0,2020-12-08 01:14:17,2020-12-08 01:16:04,true,A3VZ5K4RRT6NN8
112,true,true,4,90,30.0,2020-12-08 01:14:17,2020-12-08 01:16:41,true,A3VZ5K4RRT6NN8
113,false,false,5,33,4.0,2020-12-08 01:14:17,2020-12-08 01:17:25,true,A3VZ5K4RRT6NN8
114,true,true,6,70,17.0,2020-12-08 01:14:17,2020-12-08 01:18:03,true,A3VZ5K4RRT6NN8
115,true,true,7,100,15.0,2020-12-08 01:18:11,2020-12-08 01:18:49,true,A3VZ5K4RRT6NN8
116,false,false,8,45,20.0,2020-12-08 01:18:11,2020-12-08 01:20:31,false,A3VZ5K4RRT6NN8
117,false,true,9,57,26.0,2020-12-08 01:18:11,2020-12-08 01:21:46,true,A3VZ5K4RRT6NN8
118,true,true,10,66,14.0,2020-12-08 01:18:11,2020-12-08 01:22:21,true,A3VZ5K4RRT6NN8
119,true,true,11,100,13.0,2020-12-08 01:22:28,2020-12-08 01:22:55,true,A3VZ5K4RRT6NN8
120,true,true,12,89,12.0,2020-12-08 01:22:28,2020-12-08 01:23:19,true,A3VZ5K4RRT6NN8
121,false,true,13,51,22.0,2020-12-08 01:22:28,2020-12-08 01:24:47,true,A3VZ5K4RRT6NN8
122,true,true,14,83,6.0,2020-12-08 01:22:28,2020-12-08 01:25:30,true,A3VZ5K4RRT6NN8
123,true,true,15,87,1.0,2020-12-08 01:22:28,2020-12-08 01:26:05,true,A3VZ5K4RRT6NN8
124,true,true,16,68,29.0,2020-12-08 01:22:28,2020-12-08 01:27:29,true,A3VZ5K4RRT6NN8
125,true,true,17,100,27.0,2020-12-08 01:27:38,2020-12-08 01:29:11,true,A3VZ5K4RRT6NN8
126,true,true,18,58,18.0,2020-12-08 01:27:38,2020-12-08 01:29:55,true,A3VZ5K4RRT6NN8
127,true,true,19,60,24.0,2020-12-08 01:27:38,2020-12-08 01:30:43,true,A3VZ5K4RRT6NN8
128,true,true,20,93,31.0,2020-12-08 01:27:38,2020-12-08 01:31:29,true,A3VZ5K4RRT6NN8
129,false,false,21,19,11.0,2020-12-08 01:27:38,2020-12-08 01:31:59,false,A3VZ5K4RRT6NN8
130,true,true,22,76,21.0,2020-12-08 01:32:06,2020-12-08 01:32:43,true,A3VZ5K4RRT6NN8
131,true,true,23,70,8.0,2020-12-08 01:32:06,2020-12-08 01:32:52,true,A3VZ5K4RRT6NN8
132,true,true,24,78,9.0,2020-12-08 01:32:06,2020-12-08 01:33:00,true,A3VZ5K4RRT6NN8
133,true,true,25,75,2.0,2020-12-08 01:32:06,2020-12-08 01:33:08,true,A3VZ5K4RRT6NN8
134,true,true,26,69,19.0,2020-12-08 01:32:06,2020-12-08 01:33:16,true,A3VZ5K4RRT6NN8
135,true,true,27,81,28.0,2020-12-08 01:32:06,2020-12-08 01:33:25,true,A3VZ5K4RRT6NN8
136,true,true,28,74,5.0,2020-12-08 01:33:44,2020-12-08 01:33:52,true,A3VZ5K4RRT6NN8
137,true,true,29,82,23.0,2020-12-08 01:33:44,2020-12-08 01:33:59,true,A3VZ5K4RRT6NN8
